jour,quart_heure,Effectif couche,Effectif debout,ratio_debout,date
2023-08-07,00:00:00,10.0,2.0,16.666666666666664,2023-08-07 00:00:00
2023-08-07,00:15:00,10.0,1.0,9.090909090909092,2023-08-07 00:15:00
2023-08-07,00:30:00,11.0,0.0,0.0,2023-08-07 00:30:00
2023-08-07,00:45:00,8.0,4.0,33.33333333333333,2023-08-07 00:45:00
2023-08-07,01:00:00,9.0,2.0,18.181818181818183,2023-08-07 01:00:00
2023-08-07,01:15:00,8.0,3.0,27.27272727272727,2023-08-07 01:15:00
2023-08-07,01:30:00,8.0,3.0,27.27272727272727,2023-08-07 01:30:00
2023-08-07,01:45:00,7.0,3.0,30.0,2023-08-07 01:45:00
2023-08-07,02:00:00,9.0,0.0,0.0,2023-08-07 02:00:00
2023-08-07,02:15:00,10.0,1.0,9.090909090909092,2023-08-07 02:15:00
2023-08-07,02:30:00,11.0,0.0,0.0,2023-08-07 02:30:00
2023-08-07,02:45:00,11.0,0.0,0.0,2023-08-07 02:45:00
2023-08-07,03:00:00,10.0,1.0,9.090909090909092,2023-08-07 03:00:00
2023-08-07,03:15:00,11.0,0.0,0.0,2023-08-07 03:15:00
2023-08-07,03:30:00,11.0,0.0,0.0,2023-08-07 03:30:00
2023-08-07,03:45:00,10.0,1.0,9.090909090909092,2023-08-07 03:45:00
2023-08-07,04:00:00,0.0,9.0,100.0,2023-08-07 04:00:00
2023-08-07,04:15:00,3.0,8.0,72.72727272727273,2023-08-07 04:15:00
2023-08-07,04:30:00,7.0,5.0,41.66666666666667,2023-08-07 04:30:00
2023-08-07,04:45:00,9.0,3.0,25.0,2023-08-07 04:45:00
2023-08-07,05:00:00,9.0,3.0,25.0,2023-08-07 05:00:00
2023-08-07,05:15:00,3.0,9.0,75.0,2023-08-07 05:15:00
2023-08-07,05:30:00,0.0,12.0,100.0,2023-08-07 05:30:00
2023-08-07,05:45:00,0.0,13.0,100.0,2023-08-07 05:45:00
2023-08-07,06:00:00,0.0,12.0,100.0,2023-08-07 06:00:00
2023-08-07,06:15:00,0.0,12.0,100.0,2023-08-07 06:15:00
2023-08-07,06:30:00,0.0,12.0,100.0,2023-08-07 06:30:00
2023-08-07,06:45:00,0.0,11.0,100.0,2023-08-07 06:45:00
2023-08-07,07:00:00,0.0,10.0,100.0,2023-08-07 07:00:00
2023-08-07,07:15:00,0.0,12.0,100.0,2023-08-07 07:15:00
2023-08-07,07:30:00,0.0,12.0,100.0,2023-08-07 07:30:00
2023-08-07,07:45:00,0.0,12.0,100.0,2023-08-07 07:45:00
2023-08-07,08:00:00,3.0,9.0,75.0,2023-08-07 08:00:00
2023-08-07,08:15:00,3.0,4.0,57.14285714285714,2023-08-07 08:15:00
2023-08-07,08:30:00,6.0,3.0,33.33333333333333,2023-08-07 08:30:00
2023-08-07,08:45:00,9.0,3.0,25.0,2023-08-07 08:45:00
2023-08-07,09:00:00,8.0,5.0,38.46153846153847,2023-08-07 09:00:00
2023-08-07,09:15:00,9.0,4.0,30.76923076923077,2023-08-07 09:15:00
2023-08-07,09:30:00,1.0,12.0,92.3076923076923,2023-08-07 09:30:00
2023-08-07,09:45:00,2.0,12.0,85.71428571428571,2023-08-07 09:45:00
2023-08-07,10:00:00,2.0,10.0,83.33333333333334,2023-08-07 10:00:00
2023-08-07,10:15:00,0.0,11.0,100.0,2023-08-07 10:15:00
2023-08-07,10:30:00,4.0,8.0,66.66666666666666,2023-08-07 10:30:00
2023-08-07,10:45:00,6.0,5.0,45.45454545454545,2023-08-07 10:45:00
2023-08-07,11:00:00,9.0,4.0,30.76923076923077,2023-08-07 11:00:00
